New Folio No. and Face,Entry No.,Entry Part,Date Range-Standard-Start,Date Range-Standard-End,Date-Inferred,Date-Uncertain,Date-Approximate,Date-Type,Place-As Written,Place-Type,Place- Function,Date-Notes,Recited Date 1 Range-Standard-Start,Recited Date Range-Standard-End,Recited Date-Inferred,Recited Date-Uncertain,Recited Date-Approximate,Recited Date 1-Function,Recited Date 1-Place-As Written,Recited Date 1-Place-Type,Recited Date 1- Notes,Recited date 2-standard,Recited date 2-place-as written,Recited date 2-place – function,Recited date 2-place – type
18 r - 18 r,183,,1375-02-12,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18 r - 18 r,184,,1375-02-13,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18 r - 18 r,185,,1375-02-13,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18 r - 18 r,186,,1375-03-16,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18 r - 18 r,187,,1375-03-16,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18 r - 18 r,188,,[0000-00-00],,,,,Document date,,,,"Undated, but document appears with others dated in March 1375",,,,,,,,,,,,,
18 r - 18 r,189,,[1375]-03-20,,,Yes,,Document date,Cawode,,,"No year given, but document appears with documents dated in March 1375",,,,,,,,,,,,,
18 r - 18 r,190,,1375-03-22,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18 r - 18 r,191,,1375-03-22,,,,,Memorandum date,Cawode,,,,,,,,,,,,,,,,
18 r - 18 r,192,,1375-03-23,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18 r - 18 r,193,,1375-03-23,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18 r - 18 r,194,,1375-03-24,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18 r - 18 r,195,,1375-03-24,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18 r - 18 r,196,,1375-04-09,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
18 r - 18 r,197,,1375-04-10,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
18 r - 18 r,198,,[1375-04-10],,,Yes,,Document date,,,,"Undated, but presumably dated on the same day as the document relating to the induction to which the entry refers",,,,,,,,,,,,,
18 v - 18 v,199,,1375-04-13,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18 v - 18 v,200,,1375-04-10,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18 v - 18 v,201,,1375-04-15,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18 v - 18 v,202,,1375-05-09,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
18 v - 18 v,203,,1375-05-12,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
18 v - 18 v,204,,1375-05-19,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
18 v - 18 v,205,,1375-05-19,,,,,Document date,Thorp' iuxta Ebor',,,,,,,,,,,,,,,,
18 v - 18 v,206,,1375-05-20,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
18 v - 18 v,207,,1375-06-05,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
18 v - 18 v,208,,1375-06-05,,,,,Document date,,,,,,,,,,,,,,,,,
18 v - 18 v,209,,1375-06-25,,,,,Document date,Cawod,,,,,,,,,,,,,,,,
19 r - 19 r,210,,1375-06-07,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
19 r - 19 r,211,,1375-06-07,,,,,Document date,Cawode,,,,,,,,,,,,,,,,
