New Folio No. ,Entry No.,Entry Part,Person - Title,Person - First name,Person - Last Name - Prefix,Person - Last Name - as written,Person -  Qualification,Person - further description,Role - role in entry,Role - associated place - as written,Role - associated place - type,Role - associated place - function,Occupation 1  - employment,Status 1  - office,Status 1 - associated place - as written,Status 1 - associated place - standard,Status 1 - associated place - type,Status 1 - associated place - function,Status 2 - office,Status 2 - associated place - as written,Status 2 - associated place - type,Status 2 - associated place - function,Status 3 - office,Status 3 - Place - as written,Status 3 - Place - Type,Status 3 - Place- Function,Status 4,Status 4 - place - as written,Status 4 - place - type,Status 4 - place - function,Status 5,Status 5 - place - as written,Status 5 - place - type,Status 5 - place - function,Status 6,Status 6 - place - as written,Status 6 - place - type,Status 6 - place - function
3,16,,,,,,,,legatees,,,,,mendicant friars,Ebor',,,,,,,,,,,,,,,,,,,,,,,
3,16,,,,,,,,legatees,,,,,chapter,Ebor',,,,,,,,,,,,,,,,,,,,,,,
3,16,,Master,Thomas,de,Nevill',,,former owner of item bequeathed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,,Master,John,de,Waltham,,,residuary legatee,,,,,canon,Ebor',,,,,,,,,,,,,,,,,,,,,,,
3,16,,Master,John,de,Norton,,,residuary legatee,,,,,curate,Ebor',,,,advocate,,,,,,,,,,,,,,,,,,,
3,16,,Master,John,de,Waltham,,,executor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,,Master,John,de,Norton,,,executor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,,Sir,John,de,Waddesworth,,,executor,,,,,rector,Brytteby,,church,,,,,,,,,,,,,,,,,,,,,
3,16,,,John,de,Hayton,,,executor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,,,Thomas,atte,Garth,,,executor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,,,Andrew,de,Stok',,,executor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,,Sir,Robert,,,,,witness,,,,,rector,"Wynston, Dunelm' dioc'",,church,,,,,,,,,,,,,,,,,,,,,
3,16,,Sir,Richard,de,Clowdesdal',,,witness,,,,,vicar-choral,Ebor',,,,,,,,,,,,,,,,,,,,,,,
3,16,,Sir,Richard,,Oliver,,,witness,,,,,chaplain,,,,,,,,,,,,,,,,,,,,,,,,
3,16,,,Hugh,de,Blakeston,,,witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,,,William,de,Cliveland,,,witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,,,William,,Baldyng',,,witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,,[Sir],[Henry],[de],[Ingelby],,,[testator],,,,,prebendary,Southcave,,prebend in cathedral church of York,,prebendary,Castre,prebend in cathedral church of Lincoln,,prebendary,Oxton,prebend in collegiate church of Southwell,,prebendary,Crophill,prebend in collegiate church of Southwell,,prebendary,,prebend in collegiate church of Derlington,,rector,Halghton Dunelm' dioc',parish church,
3,17,,Master,John,de,Waltham,,,executors granted probate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,,Master,John,de,Norton,,,executors granted probate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,,Sir,John,de,Wadd',,,executors granted probate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,,,John,de,Hayton,,,executors granted probate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,,,Alexander,[de],[Neville],,,probate granted before,,,,,archbishop,Ebor',,archdiocese,,,,,,,,,,,,,,,,,,,,,
3,18,,,Alexander,,[Neville],,,sender,,,,,archbishop,Ebor',,archdiocese,,,,,,,,,,,,,,,,,,,,,
3,18,,,,,,,,addressee,,,,,keeper of spiritualities ,Snayth,,peculiar,,,,,,,,,,,,,,,,,,,,,
3,19,,,Alexander,,[Neville],,,sender,,,,,[archbishop],[York],,archdiocese,,,,,,,,,,,,,,,,,,,,,
3,19,,Master,Walter,de,Skirlawe,,,addressee,,,,,archdeacon,Estriding',,archdeaconry,,,,,,,,,,,,,,,,,,,,,
3,19,,Sir,Geoffrey,,Berowe,,,subject of exchange,,,,,vicar,beati Johannis Beverl',,collegiate church,,,,,,,,,,,,,,,,,,,,,
3,19,,Sir,Robert,de,Louthorp,,,subject of exchange,,,,,altar vicar/altarista,beate Marie,,"collegiate church, altar",,,,,,,,,,,,,,,,,,,,,
3,20,,,,,,,,sender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20,,,,,,,,addressee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20,,Sir,John,de,Bondegate,,,accused of sins of the flesh,,,,,vicar,Ripon',,church,,,,,,,,,,,,,,,,,,,,,
3,20,,,Joan,,Burdon ,,of Ripon',accused of sins of the flesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,21,,,,,,,,sender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,21,,,,,,,,addressee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,21,,,Alexander,,[Neville],,,present,,,,,archbishop,Ebor',,archdiocese,,,,,,,,,,,,,,,,,,,,,
4,21,,Sir,John,,Clynt,,junior,made confession,,,,,vicar-choral,Ripon',,collegiate church,,,,,,,,,,,,,,,,,,,,,
4,22,,,,,,,,sender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,22,,,,,,,,addressee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,22,,Master,Walter,de,Skirlawe,,,proctor (of archbishop),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,22,,,Thomas,de,Kirkton',,,proctor (of court),,,,,clerk,,,,,,,,,,,,,,,,,,,,,,,,
4,22,,Sir,John,de,Clune,,,witness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,22,,,Adam,de,Akum,,,witness,,,,,rector,Kirkby Randnes,,church,,rector,Wlache,church,,rector,Esshe,church (Ebor' and Ruffen' dioc'),,,,,,,,,,,,,
